Index Name Tribe Pers HP Attack Defence Mspd Aspd Acc Avo Grade 
1001 숲지기 1 1 10 1.4 0.35 4 1.2 50 28 1 
1002 궁수 1 2 25 3.5 0.875 4.1 1.4 50 31 2 
1003 원로 1 2 48 6.72 1.68 4.3 1.5 55 37 3 
1004 대장로 1 1 80 11.2 2.8 4.3 1.6 60 37 4 
2001 건달 2 3 6 0.72 0.18 3.6 0.8 45 16 1 
2002 병사 2 1 8 0.96 0.24 3.8 1 50 18 1 
2003 종자 2 2 21 2.52 0.63 3.8 1.1 50 18 2 
2004 기사 2 3 44 5.28 1.32 4 1.2 55 20 3 
2005 기사단장 2 1 50 6 1.5 4.2 1.5 60 22 4 
2006 영웅 2 2 68 8.16 2.04 4.4 2.1 65 24 4 
3001 광부 3 1 8 1.04 0.26 3.4 1 50 18 1 
3002 대장장이 3 2 20 2.6 0.65 3.6 1.3 50 22 2 
3004 땜장이의 왕 3 2 50 6.5 1.625 3.8 1.5 60 26 4 
4002 석궁수 4 2 28 4.2 1.05 4.3 1.3 50 38 2 
4003 대전사 4 2 54 8.1 2.025 4.5 1.5 55 46 3 
4004 어둠장로 4 2 92 13.8 3.45 4.4 1.6 60 42 4 
5001 마물 5 1 18 2.88 0.72 3.8 0.9 50 10 1 
5002 돌연변이 5 2 36 5.76 1.44 4 1.3 50 20 2 
5003 뱀파이어 5 2 76 12.16 3.04 4.2 1.1 55 30 3 
5004 발록 5 3 166 26.56 6.64 4.4 0.9 60 40 4 
5005 마왕 5 3 244 39.04 9.76 4.5 0.7 65 45 4 
